symbol,yesterday_volume,volume_3_days,volume_5_days,volume_15_days,volume_30_days
ECCB,8203.0,12622.333333333334,10597.8,9181.266666666666,6677.833333333333
MITK,340092.0,350020.0,558903.2,549061.9333333333,470075.43333333335
MEAR,11484.0,26435.0,22820.6,32631.533333333333,27525.2
EH,1044198.0,1760756.0,1326264.6,822967.4666666667,742169.8333333334
TAST,387095.0,413003.0,620835.6,474084.3333333333,473110.8
PSIL,23559.0,29600.333333333332,26091.4,33699.4,38286.26666666667
VHAQ,101.0,106187.66666666667,509385.4,195657.8,110430.3
DNLI,493719.0,608055.0,678954.0,512443.5333333333,465129.63333333336
SBND,5502.0,1837.0,1447.0,4843.266666666666,2803.9
DFS,2111018.0,2104967.3333333335,2458146.2,1907482.8666666667,1934187.9
TH,184943.0,122041.66666666667,108465.2,105201.93333333333,112959.23333333334
GBRG,400.0,227.33333333333334,1970.0,12155.0,11947.033333333333
FILL,11649.0,13264.333333333334,36879.6,28488.133333333335,27180.6
QTJL,123.0,317.6666666666667,283.0,327.6666666666667,1134.7
WNDY,1793.0,1637.6666666666667,1127.4,1374.6666666666667,5003.033333333334
SSRM,1043811.0,1330129.3333333333,1529955.4,1431957.8666666667,1526471.7333333334
APPS,3146585.0,3370368.6666666665,3167053.0,2988399.933333333,3231367.3666666667
GTPBU,500.0,822.6666666666666,9470.4,54616.8,31246.566666666666
CSB,9482.0,12567.333333333334,12857.6,10293.733333333334,16904.8
BFLY,6357266.0,4875690.666666667,4282902.4,4962025.133333334,3406551.6666666665
CNOB,160569.0,131331.66666666666,132938.4,112790.2,122431.26666666666
BSCL,478223.0,554252.6666666666,548756.6,543585.4666666667,424878.86666666664
LYL,53659.0,49911.0,50728.6,52914.2,114559.46666666666
BWSN,5654.0,9528.0,10426.0,9786.466666666667,9619.166666666666
VISL,1351563.0,1205556.6666666667,1463391.8,2029382.8666666667,4653743.3
HPX+,18530.0,15664.0,14750.8,19403.2,15697.333333333334
VCEL,311899.0,371323.0,376183.6,386222.2,376723.13333333336
WIP,72128.0,194574.66666666666,177042.0,81345.13333333333,59708.73333333333
ISEE,1453457.0,1955549.6666666667,2166697.2,1535235.3333333333,1294292.5666666667
JDIV,4383.0,2623.3333333333335,8725.6,5964.933333333333,13527.466666666667
SCOAU,1507.0,1574.3333333333333,1344.6,3778.6666666666665,15850.6
VXF,323601.0,410755.6666666667,389962.2,389080.6,315729.73333333334
DMRS,744.0,2476.6666666666665,2862.0,2264.266666666667,2981.1
IQDF,36325.0,45223.666666666664,63969.8,59742.066666666666,49296.03333333333
ICLR,491891.0,458269.0,405519.8,376753.3333333333,415265.4
ROVRW,20096.0,13734.666666666666,42956.6,56096.46666666667,50225.26666666667
SAFT,79617.0,76667.0,87317.2,71163.0,61349.166666666664
