symbol,today_change,today_change_by_%,today_to_yesterday_change,today_to_yesterday_change_by_%,yesterday_volume,volume_3_days,volume_5_days,volume_15_days,volume_30_days
AGYS,2.3999999999999986,5.606166783461805,3.0500000000000043,7.234345351043654,119471.0,96405.66666666667,121132.6,87785.4,103567.16666666667
HLNE,-0.030000000000001137,-0.027979854504757633,1.0999999999999943,1.0368555000471245,98275.0,102045.0,138902.6,158240.2,177536.33333333334
HIBB,0.6200000000000045,0.8496642455803817,4.510000000000005,6.528662420382172,909740.0,1110060.3333333333,885109.8,525538.0,423017.0
UTAAU,-0.02459999999999951,-0.24515177485898307,0.0,0.0,178766.0,6218395.666666667,6218395.666666667,6218395.666666667,6218395.666666667
FFR,-0.3211000000000013,-0.6037984204588215,0.8089999999999975,1.5542777219552728,1325.0,2206.3333333333335,2867.2,2937.5333333333333,2209.3
RM,0.22999999999999687,0.4160636758321217,0.5899999999999963,1.0742898761835329,47635.0,48844.333333333336,67896.4,74344.2,80562.33333333333
SVC,0.8399999999999999,9.621993127147764,1.0300000000000011,12.060889929742403,2162017.0,2622453.3333333335,2401159.0,1825533.6666666667,1477407.5666666667
IGIC,0.040000000000000036,0.5031446540880508,-0.07000000000000028,-0.8684863523573236,6169.0,10141.0,18565.8,59781.666666666664,51406.4
BENE,0.009999999999999787,0.09852216748768262,-0.05000000000000071,-0.4897159647404574,553946.0,1033604.6666666666,1238957.4,1786513.4,3713949.3666666667
FCOR,-0.2749999999999986,-0.4938049919195522,-0.23140000000000072,-0.41584001840191054,15915.0,12498.0,18755.6,27089.8,27750.5
HE,0.6000000000000014,1.5143866733972777,1.0700000000000003,2.7330779054916996,489838.0,372778.6666666667,419750.0,331338.4666666667,337304.9
NFE,-0.25,-1.0141987829614605,-0.26000000000000156,-1.0543390105433965,888219.0,799934.6666666666,764931.2,783726.8666666667,783169.9666666667
SQEW,0.07399999999999807,0.19999999999999477,0.7486999999999995,2.0610979124742244,10704.0,6733.666666666667,6309.6,8412.933333333332,9904.9
CHIK,0.240000000000002,0.8730447435431138,0.129999999999999,0.47101449275361956,4573.0,5346.666666666667,6639.0,5789.266666666666,5088.133333333333
QQQJ,0.0899999999999963,0.27666769136180847,-0.030000000000001137,-0.09188361408882431,463186.0,389416.3333333333,391021.8,339107.6,300832.43333333335
HYUP,0.16499999999999915,0.3506162345941333,0.2623999999999995,0.558742488703776,1354.0,2725.6666666666665,3402.0,3489.733333333333,3755.766666666667
ECH,0.04999999999999716,0.19976028765480283,0.28999999999999915,1.1698265429608679,591811.0,620039.0,797385.6,880527.5333333333,800956.6
RCFA.U,0.0,0.0,0.0,0.0,5809.0,25686.666666666668,26354.6,44114.8,44114.8
VIAO,0.0,0.0,0.11000000000000032,1.4193548387096815,1553.0,6341.0,14178.0,12942.0,18115.866666666665
VIR,-4.159999999999997,-9.776733254994117,-5.920000000000002,-13.360415256149857,1700895.0,2342397.3333333335,3687744.2,2289635.6666666665,1568803.8333333333
SNEX,1.7000000000000028,2.730923694779121,2.0800000000000054,3.36188782931955,63514.0,93352.66666666667,172189.0,85334.8,58448.833333333336
RDS.A,-0.3200000000000003,-0.7141263110912749,0.9100000000000037,2.0881138136760065,4270646.0,5947311.666666667,6079925.0,5291526.8,5701154.933333334
IRMD,-0.18999999999999773,-0.42382333258977856,0.23000000000000398,0.5179013735645215,52403.0,54150.0,78815.6,114189.73333333334,77038.7
GWRE,3.6299999999999955,3.284770608994657,2.8900000000000006,2.5977528089887647,707368.0,1223456.3333333333,1004579.2,580227.5333333333,476094.9666666667
PB,1.0600000000000023,1.4502667943631171,2.3800000000000097,3.3161488086944546,289740.0,292845.3333333333,299949.6,262298.3333333333,310838.6
STRE+,0.0,0.0,0.009898999999999991,1.0419999999999991,101.0,6099.666666666667,7916.8,6083.266666666666,12086.333333333334
AAT,0.5200000000000031,1.4496793978254896,1.3800000000000026,3.941730934018859,184689.0,243381.66666666666,287436.0,228920.33333333334,230213.83333333334
QQMG,0.14639999999999986,0.5694282380396727,0.31640000000000157,1.2388410336726765,15806.0,13297.666666666666,15884.0,15889.066666666668,18746.40740740741
PM,1.3299999999999983,1.4767932489451459,2.010000000000005,2.248825240545989,6774302.0,6635206.666666667,6678803.0,5711567.2,4656721.8
RGLS,0.008899999999999963,2.6488095238095126,0.00489999999999996,1.4411764705882233,1442200.0,1342584.6666666667,1361051.0,1389212.4666666666,1947028.1333333333
GGN,0.020000000000000018,0.5305039787798413,0.03000000000000025,0.7978723404255386,538483.0,686619.6666666666,621443.0,640204.2666666667,558797.7333333333
CWH,0.1600000000000037,0.38277511961723376,0.5200000000000031,1.2548262548262623,912508.0,1273987.6666666667,1188658.8,959898.5333333333,1143306.2333333334
MOMO,0.22000000000000064,2.4149286498353533,0.1999999999999993,2.190580503833508,3040409.0,4603970.333333333,5269116.8,3107234.8,2808302.6333333333
CETX,0.08499999999999996,9.659090909090905,0.0847,9.62171986822674,1201091.0,672110.6666666666,598216.6,664783.6666666666,5177953.566666666
CHDN,-0.18000000000000682,-0.07913479293062817,2.8799999999999955,1.2834224598930462,159653.0,239627.33333333334,219740.6,183663.13333333333,189269.8
XLG,2.1299999999999955,0.5998141420968137,4.060000000000002,1.1495554674670145,21419.0,47645.666666666664,56169.4,38752.0,34738.5
IYC,0.6800000000000068,0.8312958435207909,1.1899999999999977,1.4638946979948304,148923.0,843709.6666666666,635893.0,248580.46666666667,184787.26666666666
KPRX,-0.010000000000000009,-0.7812500000000007,0.020000000000000018,1.6000000000000014,273609.0,222006.0,249667.4,360233.4,482997.4666666667
AVLR,6.060000000000002,4.556390977443611,5.159999999999997,3.8536221060492877,1008780.0,1053186.3333333333,948746.2,772139.9333333333,713698.1
FSBC,1.4100000000000001,4.621435594886923,1.8800000000000026,6.258322237017319,253433.0,128390.33333333333,96065.8,64827.86666666667,47690.833333333336
BATRK,-0.129999999999999,-0.4639543183440364,0.23000000000000043,0.8315256688358657,93229.0,126060.33333333333,142894.6,110828.8,111999.63333333333
EEM,0.4199999999999946,0.8592471358428694,0.37999999999999545,0.7767784137367036,54871289.0,69319241.33333333,68455997.4,47605398.6,40940409.2
FCVT,0.0799999999999983,0.16427104722792257,0.07000000000000028,0.14370765756518228,19192.0,29245.666666666668,53237.4,38786.2,52690.13333333333
MNTN.U,0.0,0.0,0.030700000000001282,0.3060817547358054,1595.0,5771.666666666667,62955.6,2284665.125,2284665.125
PRE-J,-0.03999999999999915,-0.15355086372360519,0.11090000000000089,0.4282002077292295,1269.0,2697.6666666666665,6212.8,5785.866666666667,6467.366666666667
ELDN,0.16999999999999993,4.207920792079206,0.1900000000000004,4.72636815920399,158905.0,125460.33333333333,111527.4,88721.26666666666,93992.1
RKTA+,0.0,0.0,-9.999999999998899e-05,-0.013513513513512026,1306.0,22109.0,14023.2,6590.133333333333,4992.733333333334
MGRB,-0.037000000000002586,-0.14504116032929276,-0.0070000000000014495,-0.02747252747253316,3677.0,9981.0,27635.4,18552.666666666668,25070.133333333335
DBRG-H,0.0,0.0,-0.019999999999999574,-0.07987220447284175,8407.0,35265.333333333336,64323.0,33625.333333333336,27707.733333333334
DNUT,0.3200000000000003,2.0765736534717734,0.030000000000001137,0.19108280254777793,1969151.0,2129420.0,2474515.6,1708822.2,1348390.1666666667
FSIG,0.0,0.0,0.010000000000001563,0.050000000000007816,55.0,303.6666666666667,1635.4,1979.25,1979.25
AMP,-0.19999999999998863,-0.06806425265450199,3.4399999999999977,1.1853893866299097,591888.0,598945.0,1055603.8,698295.4666666667,574644.3666666667
OSTRW,0.05789999999999995,11.30859374999999,-0.0025000000000000577,-0.43675751222922043,335.0,4602.333333333333,4289.4,9796.8,8928.8
OGI,0.08000000000000007,4.469273743016763,0.050000000000000044,2.7472527472527495,10407500.0,8343978.666666667,8305102.6,9873494.466666667,9413593.9
HCDIP,0.36989999999999945,2.3665875458250394,0.13000000000000078,0.8191556395715236,49707.0,66570.66666666667,68408.8,56076.066666666666,78786.33333333333
USVM,1.2249000000000052,1.749332343154204,1.1780000000000115,1.6812263532944638,2443.0,4846.0,7108.0,11026.866666666667,11751.733333333334
NM-H,0.379999999999999,2.374999999999994,0.7799999999999994,4.9999999999999964,1966.0,2273.0,2192.6,2343.3333333333335,3901.0666666666666
GCOW,0.16000000000000014,0.5336891260840565,0.3653000000000013,1.2268805395184545,7926.0,56006.666666666664,42717.8,21703.8,16770.3
FXNC,0.010000000000001563,0.04349717268378236,0.5799999999999983,2.5869759143621684,1843.0,2151.0,2644.2,2141.3333333333335,1628.0666666666666
SVFAW,0.020000000000000018,1.5625000000000013,-0.030000000000000027,-2.2556390977443628,32223.0,58753.0,74754.2,170962.8,137956.9
KRT,-0.4800000000000004,-2.201834862385323,0.26000000000000156,1.2345679012345754,15547.0,21980.333333333332,20626.6,21500.133333333335,27844.333333333332
SOS,0.09000000000000008,8.73786407766991,0.020000000000000018,1.8181818181818195,13233367.0,11919684.333333334,12421532.8,13919136.066666666,18878875.2
DJCB,-1.791599999999999,-9.00301507537688,0.0045000000000001705,0.02485652262772204,1453.0,1191.6666666666667,3265.4,1690.0666666666666,1410.7
AMCR,0.08999999999999986,0.7839721254355388,0.2599999999999998,2.2988505747126418,6845344.0,7707303.0,8935579.6,6769907.0,6449544.6
DHBC,0.03500000000000014,0.35971223021582877,0.005000000000000782,0.05122950819672931,1620.0,4306.666666666667,2950.0,14110.0,45496.1
HCA,2.2700000000000102,0.9805615550755984,3.740000000000009,1.6258748858844536,1559932.0,1565254.0,1966614.6,1422830.8,1366207.9333333333
BTRS,0.33999999999999986,4.941860465116276,0.3099999999999996,4.486251808972498,1780698.0,1611641.0,1724687.2,1666413.4666666666,1361272.8
QS,0.879999999999999,3.6758563074352506,0.2699999999999996,1.099796334012218,9183078.0,10559616.333333334,10440050.4,11889995.6,15180632.066666666
RLJ,0.41000000000000014,3.215686274509805,0.6999999999999993,5.617977528089881,2724203.0,1758288.0,1849783.0,1687750.6,1591159.2666666666
TCACW,-0.007199999999999984,-1.1479591836734668,0.010000000000000009,1.6393442622950833,6810.0,26352.0,18848.4,31200.733333333334,49021.566666666666
BSMR,-0.010000000000001563,-0.038729666924870496,-0.03500000000000014,-0.13542271232346736,212.0,1599.6666666666667,1270.6,2640.266666666667,2032.8333333333333
SLVR,0.10999999999999943,1.1363636363636305,0.08999999999999986,0.9278350515463903,1201.0,3152.3333333333335,4445.6,10414.533333333333,18792.708333333332
MUR,0.030000000000001137,0.10956902848795157,0.8999999999999986,3.3949453036589907,1631363.0,1962946.3333333333,2058015.2,1988887.2666666666,1932108.7
FULC,0.3100000000000005,2.197023387668324,0.39000000000000057,2.7797576621525346,823684.0,1222511.6666666667,975735.4,647964.7333333333,562178.4333333333
WINC,-0.010000000000001563,-0.038699690402482834,-0.020000000000003126,-0.07736943907157882,4488.0,3031.3333333333335,3200.0,6018.533333333334,4965.166666666667
GLAD,-0.14999999999999858,-1.28205128205127,-0.05999999999999872,-0.5167958656330639,193028.0,127727.0,154280.4,170923.93333333332,137742.76666666666
PETQ,-0.6400000000000006,-2.838137472283816,-0.8299999999999983,-3.649956024626202,365084.0,509007.6666666667,543797.8,424204.06666666665,459260.7
TTMI,-0.009999999999999787,-0.07062146892655216,0.120000000000001,0.8553100498930934,1251210.0,1039098.3333333334,1118077.4,871344.8666666667,995532.0666666667
SOHU,0.3699999999999992,2.429415627051866,0.29999999999999893,1.9607843137254832,476472.0,533291.0,480367.8,502768.4666666667,339355.8333333333
CPRI,0.8900000000000006,1.4171974522293003,2.1899999999999977,3.5609756097560936,1874363.0,2133772.3333333335,2128304.6,1881777.4,1947683.5666666667
HTLFP,0.09999999999999787,0.35650623885917243,0.0799999999999983,0.2850017812611268,1999.0,2477.0,2606.6,4297.6,4208.866666666667
